Ngày,Giá_đóng_cửa_thực_tế,Giá_đóng_cửa_dự_đoán
2022-12-13,48.5,49.35216902673244
2022-12-14,47.94,49.49946797430515
2022-12-15,48.82,49.612693334817884
2022-12-16,48.94,49.725770090222355
2022-12-19,48.13,49.8236891245842
2022-12-20,48.13,49.90667334556579
2022-12-21,48.5,49.93038368165493
2022-12-22,48.5,49.92820153295994
2022-12-23,49.01,49.92721604645252
2022-12-26,48.0,49.96973275005817
2022-12-27,48.06,49.99601239025593
2022-12-28,48.19,49.99512858092785
2022-12-29,47.87,49.97046795427799
2022-12-30,48.31,49.933285391926766
2023-01-03,50.26,49.89660339415073
2023-01-04,50.26,50.00138563811779
2023-01-05,50.64,50.19960138857365
2023-01-06,50.45,50.47687505662441
2023-01-09,50.45,50.75741021573543
2023-01-10,50.51,51.009342802166934
2023-01-11,50.83,51.25280489742756
2023-01-12,50.7,51.49924691617488
2023-01-13,50.26,51.69781071543693
2023-01-16,50.76,51.84491412997246
2023-01-17,51.52,51.954088045954705
2023-01-18,52.4,52.10519597709179
2023-01-19,52.71,52.316070536375044
2023-01-27,52.77,52.59585093796253
2023-01-30,52.59,52.9169787555933
2023-01-31,52.46,53.205702838301654
2023-02-01,51.52,53.44327547848224
2023-02-02,51.46,53.58943642377853
2023-02-03,50.32,53.65055614054203
2023-02-06,50.58,53.62243066847324
2023-02-07,50.7,53.48996485710144
2023-02-08,51.02,53.3256388926506
2023-02-09,50.7,53.16450402736663
2023-02-10,50.7,53.01810844242573
2023-02-13,50.7,52.884790107011796
2023-02-14,50.76,52.757576313018795
2023-02-15,51.27,52.6482185959816
2023-02-16,51.27,52.58375917494297
2023-02-17,51.27,52.55302920281887
2023-02-20,52.02,52.547726346850396
2023-02-21,52.02,52.635528501868244
2023-02-22,51.39,52.77102507531643
2023-02-23,51.14,52.87877551078796
2023-02-24,50.76,52.94712994992733
2023-02-27,50.45,52.93693876802921
2023-02-28,50.58,52.87879506409168
2023-03-01,50.58,52.77170944094658
2023-03-02,50.26,52.670208241343495
2023-03-03,49.32,52.53795360565185
2023-03-06,49.13,52.37065162837505
2023-03-07,49.51,52.180022559762
2023-03-08,49.95,52.011465260386466
2023-03-09,50.64,51.85509357988834
2023-03-10,49.95,51.77212109088897
2023-03-13,49.57,51.718118776679034
2023-03-14,49.44,51.65331130683422
2023-03-15,50.58,51.56671363532543
2023-03-16,49.76,51.54337872266769
2023-03-17,49.63,51.53227635681629
2023-03-20,48.75,51.506532477140425
2023-03-21,49.07,51.448486539721486
2023-03-22,49.32,51.35466587781906
2023-03-23,49.01,51.2625150680542
2023-03-24,49.38,51.15941049754619
2023-03-27,49.7,51.07949614524841
2023-03-28,49.76,51.05945400893688
2023-03-29,49.63,51.06988765180111
2023-03-30,49.7,51.07955480515957
2023-03-31,49.7,51.0976377004385
2023-04-03,50.83,51.138339857459066
2023-04-04,50.58,51.254814977049826
2023-04-05,50.64,51.38740984022617
2023-04-06,50.45,51.50842132627964
2023-04-07,50.58,51.641751393675804
2023-04-10,50.45,51.74823868572712
2023-04-11,50.45,51.8584450161457
2023-04-12,50.45,51.93885993301868
2023-04-13,50.01,51.99760587871074
2023-04-14,50.01,52.01804299175739
2023-04-17,50.01,52.00394114911556
2023-04-18,49.88,51.96531946361065
2023-04-19,49.82,51.91292052030563
2023-04-20,49.88,51.8622735530138
2023-04-21,49.82,51.81387912631035
2023-04-24,49.7,51.772672494053836
2023-04-25,49.26,51.75806226551533
2023-04-26,49.19,51.7048577260971
2023-04-27,49.19,51.61723155081272
2023-04-28,48.69,51.500420114398
2023-05-04,49.32,51.39446467220783
2023-05-05,49.26,51.28595947921276
2023-05-08,49.32,51.18862313330173
2023-05-09,49.57,51.11781670987606
2023-05-10,49.63,51.09922542870044
2023-05-11,49.7,51.116737367510794
2023-05-12,50.58,51.148143883943554
2023-05-15,50.89,51.24420926511287
2023-05-16,51.2,51.41382244288921
2023-05-17,51.2,51.60912866175175
2023-05-18,52.08,51.83555591881275
2023-05-19,52.02,52.11300165593624
2023-05-22,51.83,52.382109864354135
2023-05-23,51.52,52.59830683290958
2023-05-24,51.08,52.75970762312412
2023-05-25,52.27,52.85044277369976
2023-05-26,52.21,52.97529452860355
2023-05-29,52.21,53.10388487517834
2023-05-30,52.77,53.24146192014217
2023-05-31,52.84,53.43306083261967
2023-06-01,52.46,53.59602588713169
2023-06-02,52.65,53.712434525489805
2023-06-05,53.4,53.81487819433212
2023-06-06,53.59,53.97178954601288
2023-06-07,53.4,54.12398464083671
2023-06-08,52.52,54.27041933238506
2023-06-09,53.15,54.38798943698406
2023-06-12,53.34,54.46233109772205
2023-06-13,53.03,54.511691457629205
2023-06-14,52.9,54.546942153573035
2023-06-15,52.84,54.57548215568065
2023-06-16,53.09,54.58970522880554
2023-06-19,53.21,54.67837946116924
2023-06-20,53.72,54.724239779710764
2023-06-21,53.91,54.78646230280399
2023-06-22,53.72,54.86644704699516
2023-06-23,53.47,54.958734729886054
2023-06-26,53.91,55.02284610211849
2023-06-27,54.85,55.07800206124782
2023-06-28,54.66,55.216455094218254
2023-06-29,54.35,55.378743604421615
2023-06-30,54.03,55.50554677903652
2023-07-03,54.28,55.59518303394317
2023-07-04,54.66,55.67930525720119
2023-07-05,54.67,55.77656338989734
2023-07-06,54.52,55.92747969865799
2023-07-07,55.04,56.039954212307926
2023-07-10,55.04,56.110862312912936
2023-07-11,54.82,56.19329904139042
2023-07-12,55.04,56.26221270501613
2023-07-13,55.4,56.31791224598884
2023-07-14,57.23,56.40216743171215
2023-07-17,57.74,56.65575422763824
2023-07-18,57.52,56.963574066758156
2023-07-19,57.37,57.261159706711766
2023-07-20,58.69,57.53810487926006
2023-07-21,59.2,57.92641784846782
2023-07-24,59.2,58.315915747880936
2023-07-25,59.42,58.7069309836626
2023-07-26,60.44,59.092279672026635
2023-07-27,61.18,59.49247322857379
2023-07-28,61.69,59.95359879016876
2023-07-31,62.56,60.41077458441257
2023-08-01,61.76,60.93102542579174
2023-08-02,61.03,61.430049200654025
2023-08-03,61.18,61.80922295570373
2023-08-04,60.879999999999995,62.07508922636509
2023-08-07,61.76,62.295001322627066
2023-08-08,61.54,62.442628765702246
2023-08-09,60.74,62.548756276965136
2023-08-10,60.08,62.614603982567786
2023-08-11,59.93,62.613782743811605
2023-08-14,60.37,62.535663384795185
2023-08-15,61.39,62.433602960705755
2023-08-16,62.2,62.389381209015845
2023-08-17,62.86,62.472443643212316
2023-08-18,62.49,62.7296790856123
2023-08-21,62.78,63.05610975921154
2023-08-22,63.22,63.304905995726585
2023-08-23,63.22,63.47178171098232
2023-08-24,66.55,63.57607121169567
2023-08-25,67.0,63.98112180888653
2023-08-28,69.51,64.47295387864112
2023-08-29,69.21,65.1500495904684
2023-08-30,71.43,65.8494399791956
2023-08-31,71.51,66.6821917206049
2023-09-05,71.58,67.54020241975785
2023-09-06,73.21000000000001,68.40181483745576
2023-09-07,72.39,69.29003539085389
2023-09-08,72.17000000000002,70.18787616968156
2023-09-11,72.02000000000001,70.90157175540925
2023-09-12,73.13000000000001,71.59568275213242
2023-09-13,72.47000000000001,72.10812009334565
2023-09-14,70.91,72.50264319181443
2023-09-15,72.1,72.6928890156746
2023-09-18,71.65000000000002,72.76339040756226
2023-09-19,72.76000000000002,72.7510483622551
2023-09-20,72.84000000000002,72.81506587862968
2023-09-21,71.58,72.9137787771225
2023-09-22,71.51,73.00413850426675
2023-09-25,69.73,73.11979238510132
2023-09-26,69.14000000000001,72.97268114924431
2023-09-27,69.73,72.6599768948555
2023-09-28,69.51,72.34662347078324
2023-09-29,68.62,71.91709213733674
2023-10-02,68.92,71.48911724686623
2023-10-03,68.18000000000002,71.06093900203705
2023-10-04,68.40000000000002,70.6874239730835
2023-10-05,67.74000000000001,70.34592161297799
2023-10-06,68.55000000000001,70.04250908851624
2023-10-09,70.69,69.77605230808258
2023-10-10,71.21000000000001,69.7814568412304
2023-10-11,71.73,69.99179563999176
2023-10-12,71.28000000000002,70.28279572725296
2023-10-13,71.06000000000002,70.58009979963303
2023-10-16,71.58,70.84848844647408
2023-10-17,68.84,71.26138382911682
2023-10-18,68.77000000000001,71.44998717546463
2023-10-19,68.03,71.59328942775727
2023-10-20,68.7,71.49239438056946
2023-10-23,67.29,71.23760701179505
2023-10-24,68.03,70.88061061382294
2023-10-25,67.22,70.48238020896912
2023-10-26,64.19,70.10165392160415
2023-10-27,64.33,69.74264744400979
2023-10-30,62.85,69.1653087770939
2023-10-31,61.38,68.46568374872209
2023-11-01,63.15,67.71169271469117
2023-11-02,65.81,66.9596922069788
2023-11-03,64.33,66.44957779824735
2023-11-06,65.44,66.23389703691007
2023-11-07,65.29,66.03453155219556
2023-11-08,68.47000000000001,65.9063557356596
2023-11-09,68.40000000000002,66.03927518367767
2023-11-10,67.66000000000001,66.34708329081536
2023-11-13,67.59000000000002,66.71908880472184
2023-11-14,68.47000000000001,67.0378545832634
2023-11-15,68.33,67.39263363659383
2023-11-16,68.77000000000001,67.78180304050446
2023-11-17,67.29,68.11879249811173
2023-11-20,67.07,68.44655279636383
2023-11-21,67.96000000000001,68.57699679613114
2023-11-22,68.77000000000001,68.64201544165611
2023-11-23,67.14,68.80610676646234
2023-11-24,67.44000000000001,68.90436602830887
2023-11-27,67.07,68.92940989971162
2023-11-28,67.37,68.87107848405839
2023-11-29,67.81,68.76153305530549
2023-11-30,67.96000000000001,68.66526823043823
2023-12-01,68.33,68.67810301899911
2023-12-04,69.21,68.70642402410508
2023-12-05,70.1,68.90960631370545
2023-12-06,70.25000000000001,69.23788281917572
2023-12-07,69.73,69.50128928422929
2023-12-08,69.66000000000001,69.81752095460892
2023-12-11,70.25000000000001,70.02148537635803
2023-12-12,71.58,70.20347970604897
2023-12-13,70.40000000000002,70.53615179419518
2023-12-14,71.14000000000001,70.80055156707765
2023-12-15,71.14000000000001,70.99760194063187
2023-12-18,69.51,71.14174889564515
2023-12-19,69.95000000000002,71.23189744710923
2023-12-20,70.03,71.20611055016518
2023-12-21,70.32000000000001,71.15293338537217
2023-12-22,69.95000000000002,71.11798772096634
2023-12-25,70.99,71.07140393018723
2023-12-26,71.88,71.10592724323273
2023-12-27,71.65000000000002,71.32142029285431
2023-12-28,71.43,71.50512749195099
2023-12-29,71.06000000000002,71.64448779821396
2024-01-02,70.91,71.77443123340608
2024-01-03,71.21000000000001,71.86781781196595
2024-01-04,71.88,71.91224291801453
2024-01-05,72.02000000000001,72.0567027258873
2024-01-08,71.95000000000002,72.14212719917298
2024-01-09,71.43,72.2413328409195
2024-01-10,70.03,72.29849105834961
2024-01-11,70.25000000000001,72.3568537592888
2024-01-12,70.03,72.26921585202217
2024-01-15,70.54,72.16717107057572
2024-01-16,70.77,72.01970787525177
2024-01-17,70.77,71.84765444517136
2024-01-18,70.69,71.7286921453476
2024-01-19,71.21000000000001,71.63604077100754
2024-01-22,71.28000000000002,71.61994449138642
2024-01-23,70.69,71.63477371692657
2024-01-24,70.25000000000001,71.66066229104996
2024-01-25,70.32000000000001,71.67112721920014
2024-01-26,70.91,71.6226350259781
2024-01-29,70.91,71.58911284208298
2024-01-30,70.69,71.57700543642045
2024-01-31,70.77,71.5673852109909
2024-02-01,73.87000000000002,71.58534296512605
2024-02-02,75.43,72.02763869524003
2024-02-05,76.53000000000002,72.5055840086937
2024-02-06,76.98,73.07966118454934
2024-02-07,77.57,73.68155097961426
2024-02-15,76.9,74.31554729938507
2024-02-16,77.72000000000001,74.92534445047379
2024-02-19,77.64000000000001,75.47526156425477
2024-02-20,77.13000000000001,76.00515609502793
2024-02-21,78.31,76.42523927211762
2024-02-22,77.35,76.8525493502617
2024-02-23,76.83000000000001,77.16130383729936
2024-02-26,79.86,77.48058582305909
2024-02-27,79.79,77.84078896284103
2024-02-28,80.23000000000002,78.20340106964112
2024-02-29,80.60000000000001,78.56102317333222
2024-03-01,81.93000000000002,78.89555673599243
2024-03-04,82.38,79.33508371829987
2024-03-05,81.86,79.79070698022842
2024-03-06,80.68,80.21704721450806
2024-03-07,82.30000000000001,80.53853481292725
2024-03-08,81.34000000000002,80.8614146065712
2024-03-11,81.34000000000002,81.10116939544677
2024-03-12,82.75,81.31256407260895
2024-03-13,86.52000000000001,81.49813274621964
2024-03-14,86.52000000000001,81.93673681259156
2024-03-15,85.78,82.48285276412965
2024-03-18,83.56,83.0150467634201
2024-03-19,82.82000000000001,83.47534717559815
2024-03-20,84.67,83.63882843732834
2024-03-21,85.93000000000002,83.7204673910141
2024-03-22,84.96,83.87282673358918
2024-03-25,84.30000000000001,83.97855535745622
2024-03-26,85.04000000000002,84.03705884218216
2024-03-27,85.19000000000001,84.03665213346481
2024-03-28,86.59,84.0199927186966
2024-03-29,86.15000000000002,84.16204355955124
2024-04-01,86.37,84.3035938358307
2024-04-02,86.52000000000001,84.48146632909776
2024-04-03,85.11000000000001,84.67351105690003
2024-04-04,84.30000000000001,84.83821244478226
2024-04-05,84.08,84.90466239213944
2024-04-08,83.26000000000002,84.87908667087555
2024-04-09,83.56,84.73098212718963
2024-04-10,84.15000000000002,84.50162969589233
2024-04-11,84.96,84.33278300762177
2024-04-12,85.41000000000001,84.21280393600465
2024-04-15,82.52000000000001,84.17153864383698
2024-04-16,83.56,84.18605501651764
2024-04-17,82.67,84.1608860039711
2024-04-19,80.60000000000001,84.01317252635957
2024-04-22,81.55999999999999,83.85801315069199
2024-04-23,83.04000000000002,83.54185969352723
2024-04-24,88.81000000000002,83.33537680625916
2024-04-25,91.10000000000001,83.7372050189972
2024-04-26,91.10000000000001,84.47000027179719
2024-05-02,94.13,85.2287779545784
2024-05-03,93.10000000000002,86.12528910875321
2024-05-06,94.36,87.05547887325287
2024-05-07,97.09000000000002,87.91942204475403
2024-05-08,96.87,88.87515624523164
2024-05-09,96.35000000000001,89.83428489923477
2024-05-10,96.87,90.71881378889084
2024-05-13,95.91,91.57726639270783
2024-05-14,96.50000000000001,92.21723820209503
2024-05-15,99.16000000000001,92.75088696718217
2024-05-16,100.12,93.37008534669876
2024-05-17,99.46000000000001,94.06407120227814
2024-05-20,98.35000000000001,94.67266386985779
2024-05-21,100.57000000000001,95.15658467292786
2024-05-22,102.05000000000001,95.65142404079438
2024-05-23,101.68000000000002,96.27955436944961
2024-05-24,97.54,96.81880320072175
2024-05-27,98.20000000000002,97.58028706073762
2024-05-28,101.31,97.79190073490143
2024-05-29,100.35000000000001,97.87624586582184
2024-05-30,99.83,97.98532201528549
2024-05-31,99.53,98.03925784826279
2024-06-03,101.23,97.877387778759
2024-06-04,102.86000000000001,97.95248810768128
2024-06-05,103.6,98.17395664691925
2024-06-06,103.23,98.54689289808273
2024-06-07,105.0,98.86650337934495
2024-06-10,106.48000000000002,99.1539838719368
2024-06-11,108.33000000000001,99.54863211154938
2024-06-12,113.03000000000002,100.16154214859009
2024-06-13,111.31,101.3041433620453
2024-06-14,112.17000000000002,102.47538625478745
2024-06-17,110.29000000000002,103.47429414987565
2024-06-18,109.6,104.20305360078812
2024-06-19,112.60000000000001,104.77563690423966
2024-06-20,114.14000000000001,105.41044664144516
2024-06-21,116.54000000000002,106.18624351978302
2024-06-24,113.11,106.90262964010239
2024-06-25,111.31,107.71610964536667
2024-06-26,112.85,108.2735195851326
2024-06-27,113.71000000000001,108.38242366552353
2024-06-28,111.74000000000001,108.36000775814057
2024-07-01,110.11,108.24891370773315
2024-07-02,109.6,107.99300006866456
2024-07-03,112.17000000000002,107.69943458795548
2024-07-04,116.28,107.55036020040512
2024-07-05,118.76000000000002,107.66805544614792
2024-07-08,119.53000000000002,108.08806041002273
2024-07-09,117.74,108.60847549915314
2024-07-10,114.74000000000001,109.29044780492782
2024-07-11,113.88,109.67865127563476
2024-07-12,114.57,109.86509593725205
2024-07-15,113.63000000000001,109.7906056714058
2024-07-16,114.74000000000001,109.58110375404358
2024-07-17,112.94000000000001,109.39888260602952
2024-07-18,109.52000000000001,109.31334863424301
2024-07-19,107.89,109.2672028374672
2024-07-22,106.26000000000002,108.88004742383957
2024-07-23,107.45999999999998,108.21656472206116
2024-07-24,107.89,107.47597943305969
2024-07-25,107.03,106.69658474683762
2024-07-26,109.6,105.87223310470581
2024-07-29,110.46,105.28261496305466
2024-07-30,109.6,105.05382566690446
2024-07-31,110.11,104.85772949457169
2024-08-01,106.86000000000001,104.73552916765213
2024-08-02,105.49,104.79151418685913
2024-08-05,101.55000000000001,104.82671013355255
2024-08-06,103.44000000000001,104.63569782018662
2024-08-07,104.46000000000001,104.16854593038559
2024-08-08,103.95000000000002,103.47915901184082
2024-08-09,108.66000000000001,102.78381224632264
2024-08-12,111.31,102.46941076517105
2024-08-13,111.06000000000002,102.58843563556671
2024-08-14,110.89,102.87446136236191
2024-08-15,110.2,103.25177755355836
2024-08-16,111.83000000000001,103.58080490589143
2024-08-19,111.74000000000001,104.07947672128678
2024-08-20,112.60000000000001,104.51631316900253
2024-08-21,114.31,105.01542297840119
2024-08-22,114.57,105.6609322834015
2024-08-23,113.97,106.23661283016204
2024-08-26,112.60000000000001,106.72497614383698
2024-08-27,113.45000000000002,107.0730093073845
2024-08-28,114.14000000000001,107.29195938110352
2024-08-29,114.48,107.53761144638062
2024-08-30,115.42000000000002,107.73422382593155
2024-09-04,113.88,108.00664045333862
2024-09-05,111.83000000000001,108.26174067497254
2024-09-06,113.11,108.56135985851289
2024-09-09,112.43,108.61759516000748
2024-09-10,111.31,108.49999377012253
2024-09-11,111.83000000000001,108.33421303987504
2024-09-12,113.28,108.10670644044876
2024-09-13,113.88,107.98300441980362
2024-09-16,112.26000000000002,107.92206068277359
2024-09-17,113.8,107.80511628389358
2024-09-18,115.25000000000001,107.7462530183792
2024-09-19,115.77,107.94926323890687
2024-09-20,115.85,108.27891629695893
2024-09-23,114.74000000000001,108.6156554722786
2024-09-24,115.17,108.82565795421601
2024-09-25,115.42000000000002,108.9355788064003
2024-09-26,115.0,109.11789381027222
2024-09-27,114.91000000000001,109.22617218494416
2024-09-30,115.17,109.30407254695892
2024-10-01,116.37000000000002,109.34117689609528
2024-10-02,115.94000000000001,109.50678555727005
2024-10-03,114.74000000000001,109.55624759435653
2024-10-04,114.82000000000001,109.57752158880234
2024-10-07,114.82000000000001,109.5150292301178
2024-10-08,114.57,109.42538124322891
2024-10-09,115.94000000000001,109.37149233818054
2024-10-10,121.33000000000001,109.4057966542244
2024-10-11,119.53000000000002,110.03489682674409
2024-10-14,117.82000000000001,110.61392489910126
2024-10-15,117.31,111.15672461032868
2024-10-16,116.71000000000001,111.4182852435112
2024-10-17,117.31,111.48490725994111
2024-10-18,117.31,111.44759955644608
2024-10-21,116.02000000000001,111.37695738077164
2024-10-22,113.97,111.28660547494889
2024-10-23,114.91000000000001,111.23249757289886
2024-10-24,115.0,111.00051717758178
2024-10-25,114.74000000000001,110.69747225522995
2024-10-28,115.51,110.37366954565049
2024-10-29,115.94000000000001,110.0779923081398
2024-10-30,116.37000000000002,109.91660716056823
2024-10-31,116.37000000000002,109.822203810215
2024-11-01,115.25000000000001,109.76711042165756
2024-11-04,113.71000000000001,109.75300075769425
2024-11-05,113.54000000000002,109.72334230661393
2024-11-06,115.25000000000001,109.57633274793625
2024-11-07,115.68000000000002,109.4482820725441
2024-11-08,116.28,109.50963251829148
2024-11-11,118.42000000000002,109.5922882437706
2024-11-12,117.14000000000001,109.93626996278763
